codice,titolo,autore,editore,editore_norm,anno,genere,tipologia,copie_ragionieri,collocazioni,inventari,prestito,criteri,descrizione,url
SES00015915,"""Cobra"" Galindez / Gianluigi Bonelli, Aurelio Galleppini","Bonelli, Sergio <1932-2011>",,,2009,,Monografia moderna,1,F|TEX|152,bp49685,Ammesso al prestito,soggetto:Fumetti,"Bonelli, Sergio <1932-2011>. ""Cobra"" Galindez / Gianluigi Bonelli, Aurelio Galleppini. - Roma : Gruppo Editoriale L'Espresso, c2009. 302 p. : ill.. ( I fumetti di Repubblica. L'Espresso , Tex : collezione storica a colori )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/SES00015915
RT10087043,"01 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2016,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64860,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 01 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2016]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm. ( J-pop )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087043
RT10087045,"02 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2016,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64861,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 02 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2016]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087045
RT10087046,"03 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2017,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64862,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 03 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2017]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087046
LO12084130,"1 / [disegni] Sergei, [storia] Kumanano",,Saldapress,SaldaPress,2023,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|KUM,bc71747,Ammesso al prestito,genere:Vignette o Fumetti,"1 / [disegni] Sergei, [storia] Kumanano. - Reggio Emilia : Saldapress, 2023. 174 p. : fumetti ; 19 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO12084130
UBO4348162,"1 / [Mark Millar, John Romita Jr.]","Millar, Mark",Panini Comics,Panini Comics,2018,Vignette o Fumetti,Monografia moderna,1,F|KIC,bp74919,Ammesso al prestito,genere:Vignette o Fumetti,"Millar, Mark. 1 / [Mark Millar, John Romita Jr.]. - Modena : Panini Comics, 2018. 1 volume (senza paginazione) : fumetti ; 27 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4348162
UBO4441803,1 / [storia e disegni] Tsutomu Nihei,,Planet Manga,Planet Manga,2019,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|APO,bc66761,Ammesso al prestito,genere:Vignette o Fumetti,"1 / [storia e disegni] Tsutomu Nihei. - Modena : Planet Manga, 2019. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4441803
MIL0869109,1 / [Taiyo Matsumoto],"Matsumoto, Taiyo",,,2013,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SUN,bc64190,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Matsumoto, Taiyo. 1 / [Taiyo Matsumoto]. - Milano : BD ; J-pop, [2013]. 216 p. : fumetti b/n ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/MIL0869109
BVE0899092,1 / adattamento manga di Akira Aoki,,,,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|STA,bc68301,Ammesso al prestito,genere:Vignette o Fumetti,"1 / adattamento manga di Akira Aoki. - Modena : Planet Manga, ©2022. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0899092
LO11755097,1 / Akaza Samamiya,"Samamiya, Akaza",,,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BAL,bc66643,Ammesso al prestito,genere:Vignette o Fumetti,"Samamiya, Akaza. 1 / Akaza Samamiya. - Milano : BD ; J-pop, [2017?]. 1 volume (senza paginazione) : fumetti b/n ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO11755097
BVE0892541,1 / Amano Jaku,,Star Comics,Star Comics,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ADO,bc71731,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Amano Jaku. - Bosco (PG) : Star Comics, 2021. 250 p. : fumetti ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0892541
BVE0877831,1 / Aoi Ikebe,,Bao publishing,Bao Publishing,2020,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|PRI,bc67529,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Aoi Ikebe. - Milano : Bao publishing, 2020. 214 p. : fumetti ; 19 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0877831
BVE0884481,1 / art by Dubu (Redice studio) ; original story by Chugong ; [traduzione di Ilmia Calistri],,Star Comics,Star Comics,2021,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SOL,bc70686,Ammesso al prestito,genere:Vignette o Fumetti,"1 / art by Dubu (Redice studio) ; original story by Chugong ; [traduzione di Ilmia Calistri]. - Bosco (PG) : Star Comics, 2021. 97 p. : fumetti color. ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0884481
UBO4264140,1 / art: J-Ta Yamada ; story: Nobuaki Kanazawa,,Nobuaki Kanazawa. - Modena : Planet Manga,Nobuaki Kanazawa. - Modena : Planet Manga,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|OSA,bc64385,Ammesso al prestito,genere:Vignette o Fumetti,"1 / art: J-Ta Yamada ; story: Nobuaki Kanazawa. - Modena : Planet Manga, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4264140
UBO4302709,1 / Boichi,,Planet Manga,Planet Manga,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ORI,bc65392,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Boichi. - Modena : Planet Manga, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm. ( Manga Saga )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4302709
UBO3859597,1 / Chica Umino,,Planet Manga,Planet Manga,2011,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|MAR,bc64446,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Chica Umino. - Modena : Planet Manga, 2011. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO3859597
UBO4320422,"1 / comics by [storia] Jinsei Kataoka, [disegni] Kazuma Kondou",,Planet Manga,Planet Manga,2018,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SMO,bc65505,Ammesso al prestito,genere:Vignette o Fumetti,"1 / comics by [storia] Jinsei Kataoka, [disegni] Kazuma Kondou. - Modena : Planet Manga, 2018. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4320422
UBO4447361,"1 / Conway, Stegman","Conway, Gerry [1952-2026]",Panini Comics,Panini Comics,2019,Vignette o Fumetti,Monografia moderna,1,F|CON,bp80942,Ammesso al prestito,genere:Vignette o Fumetti,"Conway, Gerry [1952-2026]. 1 / Conway, Stegman. - Modena : Panini Comics, 2019. 1 volume (senza paginazione) : fumetti ; 29 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4447361
UBO4460566,1 / Daiki Kobayashi,,Planet Manga,Planet Manga,2020,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|RAG,bc67093,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Daiki Kobayashi. - Modena : Planet Manga, 2020. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4460566
UBO4328547,1 / disegni Rei Akira ; storia Atsushi Kamakura,,Planet Manga,Planet Manga,2018,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|UNE,bc65697,Ammesso al prestito,genere:Vignette o Fumetti,"1 / disegni Rei Akira ; storia Atsushi Kamakura. - Modena : Planet Manga, 2018. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4328547
UBO4264126,1 / Flipflops,,Planet Manga,Planet Manga,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|DAR,bc64395,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Flipflops. - Modena : Planet Manga, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4264126
UBO4337622,"1 / Garth Ennis, Darick Robertson",,Panini Comics,Panini Comics,2018,Vignette o Fumetti,Monografia moderna,1,F|ENN,bp80484,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Garth Ennis, Darick Robertson. - Modena : Panini Comics, 2018. 1 volume (senza paginazione) : fumetti ; 27 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4337622
PUG0002366,1 / Haro Aso,"Aso, Haro",BD,BD,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ALI,bc69666,Ammesso al prestito,genere:Vignette o Fumetti,"Aso, Haro. 1 / Haro Aso. - Milano : BD, [2022]. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/PUG0002366
UBO4420426,1 / Hideo Yamamoto,,Planet manga,Planet Manga,2019,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|HIK,bc66773,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Hideo Yamamoto. - Modena : Planet manga, 2019. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4420426
BVE0891953,1 / Hiroki Endo,,Planet Manga,Planet Manga,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|FOO,bc68173,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Hiroki Endo. - Modena : Planet Manga, 2021. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0891953
MIL1070702,1 / Hisae Iwaoka,"Iwaoka, Hisae <1976- >",Bao Publishing,Bao Publishing,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|AOM,bc69309,Ammesso al prestito,genere:Vignette o Fumetti,"Iwaoka, Hisae <1976- >. 1 / Hisae Iwaoka. - Milano : Bao Publishing, 2022. 206 p. : fumetti ; 18 cm. ( Aiken )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/MIL1070702
UBO3862991,1 / Inio Asano,,Planet manga,Planet Manga,2010,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SOL,bc60477,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Inio Asano. - Modena : Planet manga, 2010. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO3862991
UBO4768676,"1 / J.H. Williams e W. Haden Blackman cocreatori, cosceneggiatori",,,,2022,Vignette o Fumetti,Monografia moderna,1,F|WIL,bp86820,Ammesso al prestito,genere:Vignette o Fumetti,"1 / J.H. Williams e W. Haden Blackman cocreatori, cosceneggiatori. - Modena : Panini Comics, ©2022. 1 volume (senza paginazione) : fumetti ; 29 x 19 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4768676
UBO4328746,1 / Kaiu Shirai ; Posuka Demizu,"Shirai, Kaiu",BD,BD,2018,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|PRO,bc66051,Ammesso al prestito,genere:Vignette o Fumetti,"Shirai, Kaiu. 1 / Kaiu Shirai ; Posuka Demizu. - Milano : BD, [2018]. 1 volume (senza paginazione) : fumetti ; 17 cm. ( J-pop )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4328746
UBO4399901,1 / Kamome Shirahama,"Shirahama, Kamome",Planet Manga,Planet Manga,2019,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ATE,bc66443,Ammesso al prestito,genere:Vignette o Fumetti,"Shirahama, Kamome. 1 / Kamome Shirahama. - Modena : Planet Manga, 2019. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4399901
UBO3990142,1 / Kazue Kato,"Kato, Kazue",Planet Manga,Planet Manga,2011,,Monografia moderna,1,FT|741.595|2|BLU,bc67960,Ammesso al prestito,soggetto:Fumetti,"Kato, Kazue. 1 / Kazue Kato. - Modena : Planet Manga, 2011. 1 volume (senza paginazione) : fumetti ; 18 cm. ( Manga graphic novel )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO3990142
UBO4501378,"1 / Kazuo Koike, Gôseki Kojima","Koike, Kazuo",Planet Manga,Planet Manga,2020,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|LON,bc67383,Ammesso al prestito,genere:Vignette o Fumetti,"Koike, Kazuo. 1 / Kazuo Koike, Gôseki Kojima. - Modena : Planet Manga, 2020. 1 volume (senza paginazione) : fumetti ; 26 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4501378
TO02127182,1 / Keigo Shinzo,,J-Pop,J-Pop,2023,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|HIR,bc71763,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Keigo Shinzo. - Milano : J-Pop, [2023]. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/TO02127182
CAG2120631,1 / Keiko Iwashita,"Iwashita, Keiko",Star Comics,Star Comics,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|LIV,bc69341,Ammesso al prestito,genere:Vignette o Fumetti,"Iwashita, Keiko. 1 / Keiko Iwashita. - Bosco (PG) : Star Comics, 2021. 170 p. : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/CAG2120631
BVE0884030,1 / Kiminori Wakasugi,,Star Comics,Star Comics,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|DOM,bc68032,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Kiminori Wakasugi. - Bosco (PG) : Star Comics, 2021. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0884030
TO02153675,1 / Masakuni Igarashi,,,,2025,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|MID,bc74484,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Masakuni Igarashi. - Milano : J-Pop ; BD, [2025]. 1 volume (senza paginazione) : fumetti ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/TO02153675
MOD1761690,1 / Mika Yamamori,,Star Comics,Star Comics,2022,Vignette o Fumetti ; Letteratura per Ragazzi,Monografia moderna,1,FT|741.595|2|TSU,bc71583,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Mika Yamamori. - Bosco : Star Comics, 2022. 182 p. : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/MOD1761690
LO12085946,1 / Misaki Takamatsu,,,,2023,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SKI,bc71566,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Misaki Takamatsu. - Milano : BD ; J-Pop, 2023. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO12085946
UBO4790310,1 / Mojito,,,,2024,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ENN,bc71759,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Mojito. - Modena : Planet Manhwa, ©2024. 1 volume (senza paginazione) : fumetti ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4790310
UBO4118584,1 / Mori Kouji,,Planet Manga,Planet Manga,2014,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|DES,bc64312,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Mori Kouji. - Modena : Planet Manga, 2014. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4118584
UBO4219100,1 / Motoro Mase,,Planet Manga,Planet Manga,2016,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|DEM,bc64632,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Motoro Mase. - Modena : Planet Manga, 2016. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4219100
BVE0901451,1 / Naoya Matsumoto,"Matsumoto, Naoya",Star Comics,Star Comics,2022,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|KAI,bc68523,Ammesso al prestito,genere:Vignette o Fumetti,"Matsumoto, Naoya. 1 / Naoya Matsumoto. - Bosco (PG) : Star Comics, 2022. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0901451
UBO4232300,1 / opera originale Kafka Asagiri ; disegni Sango Harukawa,"Asagiri, Kafka",Planet Manga,Planet Manga,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BUN,bc63873,Ammesso al prestito,genere:Vignette o Fumetti,"Asagiri, Kafka. 1 / opera originale Kafka Asagiri ; disegni Sango Harukawa. - Modena : Planet Manga, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4232300
UBO4877423,1 / opera originale Masami Kurumada ; storia e disegni MEgumu Okada,,,,2024,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|CAV,bc74477,Ammesso al prestito,genere:Vignette o Fumetti,"1 / opera originale Masami Kurumada ; storia e disegni MEgumu Okada. - Modena : Planet Manga, ©2024. 1 volume (senza paginazione) ; fumetti ; 18 cm..",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4877423
BVE0900919,1 / opera originale: Kafka Asagiri ; disegni: Shiwasu Hoshikawa ; personaggi originali: Sango Harukawa,,Planet Manga,Planet Manga,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BUN,bc68300,Ammesso al prestito,genere:Vignette o Fumetti,"1 / opera originale: Kafka Asagiri ; disegni: Shiwasu Hoshikawa ; personaggi originali: Sango Harukawa. - Modena : Planet Manga, 2022. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0900919
LO11050632,1 / Osamu Tezuka,,Hazard,Hazard,2005,,Monografia moderna,1,FT|741.595|2|MWT,bc54780,Ammesso al prestito,soggetto:Fumetti,"1 / Osamu Tezuka. - Milano : Hazard, 2005. 200 p. : ill. ; 18 cm..",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO11050632
BCT0065465,1 / Ryoko Kui,"Kui, Ryoko",BD,BD,2015,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|DUN,bc70905,Ammesso al prestito,genere:Vignette o Fumetti,"Kui, Ryoko. 1 / Ryoko Kui. - Milano : BD, 2015. 1 volume (senza paginazione) : fumetti ; 17 cm. ( J-pop )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BCT0065465
UBO4338296,1 / Ryuta Amazume,,Planet Manga,Planet Manga,2018,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|NAN,bc65901,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Ryuta Amazume. - Modena : Planet Manga, 2018. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4338296
UBO4301025,1 / Shuzo Oshimi,,Planet Manga,Planet Manga,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|HAP,bc65386,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Shuzo Oshimi. - Modena : Planet Manga, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4301025
BVE0884310,1 / Siu - Tower of God / Siu,,Star Comics,Star Comics,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|TOW,bc71577,Ammesso al prestito,genere:Vignette o Fumetti,"Siu <fumettista>. 1 / Siu. - Bosco (PG) : Star Comics, 2021. 286 p. : fumetti ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0884310
CAG2120698,1 / Somato,,J-Pop,J-Pop,2021,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SHA,bc72338,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Somato. - Milano : J-Pop, [2021]. [192] p. : fumetti ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/CAG2120698
MOD1792816,"1 / storia di Ikki Kajiwara, disegni di Naoki Tsuji",,Planet Manga,Planet Manga,2024,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|UOM,bc72405,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia di Ikki Kajiwara, disegni di Naoki Tsuji. - Modena : Planet Manga, 2024. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/MOD1792816
UBO4221938,1 / storia e charcter design Tohru Fujisawa ; disegni Manabu Akishige,,Panini Comics,Panini Comics,2016,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SOU,bc64184,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e charcter design Tohru Fujisawa ; disegni Manabu Akishige. - Modena : Panini Comics, 2016. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4221938
UBO4440736,1 / storia e disegni Akimi Yoshida,"Yoshida, Akimi",Planet Manga,Planet Manga,2019,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BAN,bc67043,Ammesso al prestito,genere:Vignette o Fumetti,"Yoshida, Akimi. 1 / storia e disegni Akimi Yoshida. - Modena : Planet Manga, 2019. 1 volume (senza paginazione) : fumetti ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4440736
UBO4264114,1 / storia e disegni Bisco Hatori,,Planet Shojo,Planet Shojo,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|URA,bc64853,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni Bisco Hatori. - Modena : Planet Shojo, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4264114
UBO4321280,1 / storia e disegni Chika Tojo ; opera originale Carlo Zen ; personaggi originali Shinobu Shinotsuki,,Planet Manga,Planet Manga,2018,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SAG,bc65352,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni Chika Tojo ; opera originale Carlo Zen ; personaggi originali Shinobu Shinotsuki. - Modena : Planet Manga, 2018. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4321280
UBO4219016,1 / storia e disegni Hitori Renda,,Planet Manga,Planet Manga,2016,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|INC,bc64412,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni Hitori Renda. - Modena : Planet Manga, 2016. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4219016
E200100483704,1 / storia e disegni Masasumi Kakizaki,"Kakizaki, Masasumi",Planet Manga,Planet Manga,2013,,Monografia moderna,1,FT|741.595|2|GRE,bc60486,Ammesso al prestito,soggetto:Fumetti,"Kakizaki, Masasumi. 1 / storia e disegni Masasumi Kakizaki. - Modena : Planet Manga, 2013. 1 v. : in gran parte ill. ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/E200100483704
UBO4310325,1 / storia e disegni Mitsuru Hattori,,Panini Comics,Panini Comics,2018,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SAN,bc65050,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni Mitsuru Hattori. - Modena : Panini Comics, 2018. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4310325
UBO4264133,1 / storia e disegni Tohru Fujisawa,,Panini Comics,Panini Comics,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SOU,bc64383,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni Tohru Fujisawa. - Modena : Panini Comics, 2017. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4264133
UBO4220471,1 / storia e disegni Yuki Tabata,"Tabata, Yuki",Planet Manga,Planet Manga,2016,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BLA,bc68497,Ammesso al prestito,genere:Vignette o Fumetti,"Tabata, Yuki. 1 / storia e disegni Yuki Tabata. - Modena : Planet Manga, 2016. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4220471
UBO4685102,"1 / storia e disegni: Hiromi Sato, opera originale: Kamome Shirahama",,Planet Manga,Planet Manga,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|KIT,bc71561,Ammesso al prestito,genere:Vignette o Fumetti,"1 / storia e disegni: Hiromi Sato, opera originale: Kamome Shirahama. - Modena : Planet Manga, 2022. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4685102
